province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16485787,8156396,8329391,6.862711498,6.132361167,5.94321642,6.128788392,6.012178854,6.05451229,6.237384967,7.728839394,7.891452195,7.581573145,6.89728067,6.567966698,5.978331517,4.335916751,3.490533998,2.822722385,1.927302591,1.013885476,0.290880866,0.102160728,80.1,19.9,9,11,11.2,8.1,42396,38897,13962,5618,33362,200375,62204,30262,29.6,37.6,21,1456400,1399750,45330
Groningen,574092,284981,289111,6.072112711,5.517246945,5.408689997,6.832183883,7.77709525,6.14649751,5.937840362,7.218087405,7.325263679,7.133692592,6.841503561,6.536715701,6.110772094,4.244593695,3.528704659,2.811262357,2.014257659,1.175141836,0.326015999,0.122881633,87.4,12.6,7,5.6,10.3,9.1,1605,1530,501,240,1355,7670,3256,1994,26.6,32.7,19.8,59610,58800,820
Friesland,644811,322015,322796,6.870984369,6.354077859,6.162158649,6.133424533,5.550291304,5.377425721,5.612676586,7.434142021,7.546619884,7.27049594,6.923381837,6.609611601,6.421994817,4.589773305,3.710386866,2.925346638,2.025830984,1.116634842,0.319762925,0.125538827,91.7,8.3,4.8,3.5,11,8.7,1748,1724,513,194,1445,9536,2430,207,26.2,33.1,18.5,55280,54630,650
Drenthe,489918,242071,247847,6.5329286,6.372148533,6.102361641,5.513239206,4.600129835,4.696597855,5.389064429,7.368175963,7.793080237,7.664456177,7.307504221,7.042975524,6.660743681,4.91198249,4.076532882,3.212163115,2.21148419,1.194626156,0.32884071,0.101524004,91.3,8.7,5.6,3.1,10.2,9.2,1447,1303,477,180,1117,6687,1169,124,26.9,34.3,18.9,46690,46220,470
Overijssel,1125435,562419,563016,7.375083078,6.513635491,6.172137767,6.18851276,6.066756797,6.002753489,6.137010772,7.538040623,7.530909585,7.186506613,6.545945278,6.208057093,5.748412959,4.281090818,3.52009409,2.875659096,1.903988469,0.942090008,0.257069698,0.086805034,85.9,14.1,7,7.1,11.8,8.2,2863,2771,1066,379,2172,16518,4673,1166,26.8,34.1,18.6,100210,97640,2570
Flevoland,383449,191912,191537,8.401133498,7.46135794,7.096248524,6.858526938,6.247685742,6.367063335,6.647161412,8.234211579,8.436791711,7.891582388,6.829328519,5.585165943,4.489837779,2.763513753,2.146987921,1.726065626,1.158634479,0.570273465,0.134622782,0.034366296,73.6,26.4,8.2,18.2,13.7,5.3,738,525,199,93,470,5868,1224,238,29.8,37.7,21.2,34470,33450,1030
Gelderland,1991062,982641,1008421,6.799919452,6.3548919,6.166341148,6.163156331,5.669361368,5.495241789,5.816758395,7.505802909,7.808708275,7.579899527,6.911487353,6.627143462,6.050294597,4.410962988,3.558926572,2.86473734,1.931488243,0.989281863,0.281656706,0.094499306,86,14,7.6,6.4,10.7,8.2,5246,4682,1890,622,3960,25118,6767,3344,28.7,36.7,19.9,159390,155730,3660
Utrecht,1210869,591859,619010,7.624791594,6.347242356,5.785343247,6.229167438,6.644107058,6.695084655,6.763900316,8.082444385,7.762504745,7.277685737,6.418267313,5.949404373,5.293405381,3.759004334,3.001213805,2.42933193,1.722273526,0.923406338,0.273380649,0.098600329,80.1,19.9,8.3,11.6,12.7,7.1,2669,2384,896,400,2237,11765,5136,3641,33.2,42.3,23.8,90250,86910,3340
Noord-Holland,2646445,1301903,1344542,6.919310093,5.881460383,5.541513213,5.710326187,5.935971734,6.4917554,6.811373125,8.089245007,8.032562189,7.554202615,6.697745413,6.370040836,5.824103653,4.089324808,3.189176158,2.63103383,1.870645394,1.032158967,0.303107079,0.105503426,72.5,27.5,10.9,16.6,11.8,7.8,6565,5788,2064,1041,5390,27557,9170,5721,32.2,40.2,23.7,243830,234060,9770
Zuid-Holland,3481558,1716204,1765354,6.906438847,5.932525757,5.819544784,6.209371841,6.313075283,6.501386398,6.476855009,7.698017148,7.709286786,7.333432948,6.667613569,6.296227742,5.679300388,4.072779209,3.266829272,2.746860656,1.936385789,1.062448058,0.328897011,0.123283018,72.7,27.3,9.6,17.7,11.8,8.2,8954,8063,2905,1162,7411,38044,12309,7251,31,39.4,22,289860,274870,14990
