province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16730348,8282871,8447477,6.668968568,6.029731747,5.922633913,6.142953574,6.165174063,6.032457524,6.008922178,7.089140545,7.775670204,7.718086656,7.0409171,6.462145707,6.365740845,4.593301108,3.632908875,2.862354427,1.968497579,1.107145926,0.302345147,0.110904316,79.1,20.9,9.3,11.6,10.5,8.4,44661,38371,14477,6333,36971,182430,59563,33180,30.9,38.7,22.6,1577460,1519880,47550
Groningen,580875,288754,292121,5.815185301,5.290292412,5.32524024,6.852815334,8.000522631,6.065729235,5.580173764,6.564791113,7.077865922,7.082593176,6.818036339,6.381272766,6.371987117,4.516375054,3.536822596,2.822164613,1.97767624,1.209330299,0.341543375,0.128310896,86.5,13.5,7.4,6.1,9.6,9.4,1763,1529,523,217,1428,6332,2998,2154,27.9,33.9,21.4,64030,63210,820
Friesland,647214,323495,323719,6.551038899,6.199349008,6.125253188,6.066461425,5.551578942,5.318684746,5.253225882,6.669380063,7.487615932,7.316847075,6.929548771,6.503914587,6.62255878,4.948205721,3.881923153,2.928678344,2.061954418,1.199473181,0.339416355,0.124402155,91.3,8.7,5,3.7,10,9.1,1917,1706,582,216,1461,8397,2189,341,27.2,33.8,19.9,62220,61600,620
Drenthe,490807,243134,247673,6.184785791,6.14901944,6.197573784,5.519011689,4.544327969,4.603672189,5.002697071,6.642955078,7.660398608,7.725137733,7.336303283,6.925289668,7.006013794,5.229683674,4.159489752,3.290906295,2.251883045,1.27659988,0.36885325,0.11529162,91,9,5.6,3.4,9,9.9,1563,1341,466,207,1263,6045,1023,173,28.2,35.6,20.2,49860,49390,470
Overijssel,1137668,568764,568904,6.993564701,6.401184863,6.11068426,6.095167918,6.092323242,5.844061622,5.80199506,6.848573009,7.456469204,7.21062123,6.60591451,6.073272612,5.97362316,4.479570846,3.589535656,2.865525432,1.950922666,1.037785355,0.267915686,0.094391144,85.6,14.4,7,7.4,10.9,8.3,3039,2552,1076,452,2302,15068,4301,1197,28,35.3,20.1,108440,105780,2660
Flevoland,395525,197783,197742,7.990585515,7.155996153,6.871848999,6.729031571,6.09230385,6.311240989,6.307769724,7.390306013,8.059018845,7.924135748,6.922926046,5.7136889,4.882322894,3.040077242,2.164576636,1.696700809,1.125431096,0.610197396,0.155958595,0.042894806,72.3,27.7,8.5,19.3,12.6,5.6,771,557,235,124,526,5512,1129,245,30.9,38.6,22.8,39650,38520,1130
Gelderland,2010745,992668,1018077,6.418665677,6.157781183,6.094669473,6.175583173,5.716535719,5.354984638,5.464625384,6.713642202,7.611106313,7.620568188,6.970429798,6.470608472,6.392669901,4.624517811,3.65994264,2.891725843,1.976947468,1.074264691,0.282539514,0.10115432,85.6,14.4,7.7,6.7,9.9,8.6,5538,4753,1812,801,4431,23206,6632,3540,29.8,37.7,21.4,175090,171330,3760
Utrecht,1237117,605032,632085,7.305346039,6.271158589,5.735435855,6.045470124,6.618609423,6.514286973,6.358913114,7.360836698,7.614032671,7.291711181,6.483687837,5.785932363,5.549066493,3.910823514,3.076164643,2.403617786,1.714503005,0.979568786,0.284270751,0.105987167,79.4,20.6,8.5,12.1,12,7.2,2838,2340,915,456,2384,11253,4878,3475,34.6,43.3,25.6,99350,95840,3510
Noord-Holland,2709822,1333811,1376011,6.66045846,5.714625583,5.440918526,5.632220326,6.05557418,6.396739916,6.463076692,7.347241332,7.774250402,7.596845667,6.716553388,6.088796855,6.048734218,4.269909754,3.288538029,2.571970559,1.832530836,1.088205422,0.306857356,0.111248907,71.3,28.7,11.3,17.3,11,8.1,6839,5786,2073,1167,6253,26010,8469,6920,33.3,41.2,25.2,262050,251290,10760
Zuid-Holland,3552407,1753393,1799014,6.711725807,5.748676169,5.645842289,6.08094693,6.353422204,6.407503162,6.222926699,7.030414215,7.443047236,7.349213049,6.676665665,6.06424505,5.966435539,4.186401774,3.343854117,2.684861484,1.913317515,1.124878422,0.321476653,0.128507843,71.1,28.9,10.2,18.7,11.5,8.3,9203,7832,3068,1224,8084,37205,11072,7895,32.3,40.5,23.6,324060,308250,15810
