province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16574989,8203476,8371513,6.746466016,6.103636027,5.929554463,6.139696382,6.09485774,6.028595253,6.103991985,7.464928031,7.812005184,7.65619211,6.95762151,6.484565389,6.219660236,4.448407175,3.559362845,2.837564477,1.943790129,1.068236003,0.292476816,0.108392229,79.7,20.3,9.1,11.2,11.1,8.2,43516,39009,13016,5748,34769,175553,61633,33178,30.1,37.9,21.7,1482350,1426730,45580
Groningen,576668,286495,290173,5.931282664,5.443901707,5.397419393,6.829998111,7.928826835,6.084913627,5.739030354,6.974913622,7.168020389,7.10632877,6.807440525,6.4531836,6.303654035,4.376175136,3.544961619,2.79269971,1.997544171,1.212983882,0.332041081,0.122016125,87.1,12.9,7.1,5.8,9.9,9.2,1689,1577,458,185,1422,6459,3180,2118,27.1,33.1,20.6,60540,59750,790
Friesland,646305,322911,323394,6.687687897,6.311981961,6.113455516,6.135107389,5.532971526,5.337037205,5.403212686,7.108222414,7.502988101,7.27701562,6.919911988,6.53719205,6.571804562,4.748166928,3.798838504,2.906841829,2.044120923,1.160053115,0.323558458,0.127166717,91.5,8.5,4.8,3.6,10.8,8.6,1820,1648,521,234,1365,7902,2360,286,26.5,33.1,19.1,56140,55540,600
Drenthe,490981,242778,248203,6.380133157,6.276764813,6.108766218,5.491767793,4.610828894,4.602800302,5.161189912,7.080227656,7.668523834,7.689799616,7.326304467,6.894967558,6.901390445,5.062036622,4.127908217,3.228704236,2.229945547,1.249050521,0.343423654,0.112801932,91.1,8.9,5.6,3.2,9.7,9.4,1429,1362,439,191,1195,5821,1159,175,27.5,34.8,19.5,47470,47040,430
Overijssel,1130345,564960,565385,7.153399068,6.514170273,6.128558049,6.155236173,6.080781527,5.924200116,5.954016847,7.243372343,7.501260885,7.211724774,6.571013864,6.122803934,5.913999669,4.366058156,3.55882693,2.871036987,1.924050749,1.005747863,0.253703737,0.093373439,85.8,14.2,7,7.2,11.6,8.2,2973,2692,916,376,2312,13763,4570,1170,27.2,34.5,19.3,101020,98490,2530
Flevoland,387881,194185,193696,8.181176059,7.364608233,7.032290034,6.814555592,6.21064092,6.376037845,6.459117395,7.924569474,8.247995389,7.944386633,6.8976351,5.656269124,4.753318909,2.886442694,2.153716634,1.707322835,1.155745762,0.593497956,0.146087882,0.041920883,73.1,26.9,8.2,18.7,13.6,5.4,706,610,212,95,493,5013,1198,231,30.1,37.8,21.9,36140,35100,1040
Gelderland,1998936,986919,1012017,6.59745988,6.287462137,6.13793556,6.186988951,5.693842104,5.416628791,5.622357252,7.177966146,7.700347834,7.623242803,6.935065561,6.521685938,6.275038563,4.506059725,3.618168611,2.873247196,1.950106652,1.043087182,0.2803192,0.100325291,85.8,14.2,7.6,6.6,10.6,8.4,5245,4884,1773,640,4188,22085,6933,3407,29.1,37,20.6,162070,158510,3560
Utrecht,1220910,596784,624126,7.463351775,6.359233537,5.749018325,6.180285511,6.680322972,6.621157922,6.548028955,7.821732136,7.676927106,7.297641213,6.461904665,5.854353088,5.486044621,3.82393462,3.049219593,2.419067456,1.719822162,0.955842406,0.275242576,0.104204744,79.8,20.2,8.4,11.8,12.6,7.2,2854,2353,833,406,2322,10868,5104,3878,33.7,42.5,24.6,91970,88570,3400
Noord-Holland,2669084,1313687,1355397,6.788586374,5.837185916,5.504409902,5.684477431,6.011235191,6.462788575,6.642893025,7.79322804,7.91174696,7.608692979,6.716662746,6.21349271,6.004109287,4.182167076,3.241584702,2.603945541,1.858088638,1.070473199,0.299214112,0.112352983,72.1,27.9,11,16.9,11.8,7.8,6682,5944,1813,984,5551,24918,8752,7133,32.5,40.3,24.3,248470,238480,9990
Zuid-Holland,3505611,1729071,1776540,6.820676492,5.868461915,5.74139877,6.173750794,6.363136726,6.452783711,6.369349326,7.433559383,7.569899258,7.374300731,6.685376731,6.156012558,5.908323757,4.116817758,3.311850253,2.724351879,1.927367983,1.097915521,0.324798135,0.127203701,72.2,27.8,9.7,18.1,11.8,8.2,9162,8087,2667,1242,7565,34862,11694,8027,31.5,39.7,22.8,301640,286250,15390
Zeeland,381409,189184,192225,6.124311419,5.912442229,6.087880224,5.582753102,4.87660859,4.976083766,5.25513097,6.896600426,7.427565312,7.240241911,7.067387692,6.899184202,7.161178534,5.16676605,4.071764052,3.30851822,2.414533612,1.47042382,0.428389153,0.179572072,84.5,15.5,10.7,4.8,9.7,9.8,1133,1140,324,168,985,4278,955,119,28.2,36.5,19.1,27420,26840,580
Noord-Brabant,2444158,1219904,1224254,6.351255487,5.946084393,5.93777857,6.00712818,5.717190342,5.643445897,5.792789489,7.28614475,7.857513005,7.746432661,6.98274018,6.607163632,6.304525137,4.643238974,3.742379409,2.909982431,1.830789524,0.927268865,0.232280888,0.081203564,84,16,8.2,7.8,10.4,8,6528,5549,1957,796,4673,26638,9428,3623,29.7,37.9,20.7,201010,196000,5010
Limburg,1122701,556598,566103,5.232563038,5.259335027,5.517487217,5.830938914,5.466839877,4.997935102,5.05718457,6.576165711,7.766334174,8.234712289,7.723235656,7.432430425,6.835283447,5.289705879,4.308973359,3.380731483,2.181960878,1.099055921,0.267193218,0.089269222,80.2,19.8,14.3,5.6,8.6,9.5,3295,3163,1103,431,2698,11636,3581,1579,27.3,34.4,19.6,119590,117350,2240
