province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16357992,8088514,8269478,7.152167577,6.088644621,6.093064479,6.063494835,5.909368338,6.052961757,6.847399118,7.96120942,8.00428928,7.412725229,6.806092092,6.964357239,5.070322812,4.188056823,3.452135201,2.739358229,1.904701995,0.915124546,0.28149543,0.093030978,80.6,19.4,8.8,10.6,11.1,8.1,40894,40849,13536,5207,32536,156116,60057,28361,27.4,34.8,19.2,1354050,1303410,39600
Groningen,573614,284791,288823,6.407529597,5.543049277,5.546008613,6.752033541,7.646629668,6.31457099,6.639926131,7.463671788,7.453749254,7.16982507,6.825147052,6.937950785,5.173826006,4.113505879,3.486296323,2.78788815,2.082168604,1.075290965,0.323788451,0.111759235,87.7,12.3,6.8,5.4,9.9,8.8,1527,1619,491,198,1185,5785,3004,2053,24.5,30.2,18.1,56220,55490,720
Friesland,642209,320383,321826,7.261203969,6.329375375,6.325799195,6.149477887,5.669492077,5.396924834,6.383640055,7.633437848,7.628773278,7.210359989,6.869378825,7.067623682,5.54059405,4.46867242,3.606346137,2.84959498,2.021009178,1.020922169,0.31346011,0.108529334,91.9,8.1,4.7,3.4,11,8.5,1701,1689,568,211,1279,7190,2529,217,24.3,30.7,17,51150,50550,600
Drenthe,486197,240416,245781,6.959264758,6.320125552,6.156438557,5.632927659,4.592888831,4.846942528,6.086609714,7.651186331,7.913455226,7.651597108,7.238785467,7.491196158,5.724732062,4.754316639,4.043910955,3.117857396,2.182561782,1.093232005,0.296361779,0.100224905,91.4,8.6,5.5,3,10,9,1403,1340,444,155,1050,5375,1105,141,25,31.9,17.3,42400,42000,400
Overijssel,1116374,557539,558835,7.736855678,6.437391648,6.328447055,6.263330741,6.090969281,6.105370014,6.789985765,7.77003996,7.628268854,7.066193418,6.509216381,6.567445392,5.013687841,4.190789379,3.50957255,2.80295321,1.860913341,0.850000451,0.250715698,0.082468744,86.1,13.9,6.9,6.9,12,8,2712,2761,977,326,2146,12539,4464,1109,24.8,31.5,17.1,91790,89540,2250
Flevoland,374424,186980,187444,8.963137428,7.472348129,7.425944278,6.872032059,6.197843239,6.437596316,7.351804849,8.576972333,8.683914459,7.775039681,6.527470374,5.683934312,3.591495504,2.623415846,2.147376693,1.724141861,1.147827775,0.502441336,0.121076638,0.028802381,74.4,25.6,8.1,17.5,13.9,5.2,648,611,206,76,435,4478,1308,189,27.4,34.7,19.3,30380,29480,900
Gelderland,1979059,976475,1002584,7.226907402,6.321279779,6.323197089,6.151849863,5.630441661,5.663490082,6.497470741,7.851043209,7.966687453,7.422221036,6.888299849,7.029424165,5.160397265,4.256031036,3.549248943,2.784140182,1.896373844,0.880753006,0.267111959,0.088246847,86.3,13.7,7.5,6.2,10.7,8.1,4888,5055,1757,615,3824,19386,6557,3054,26.5,34,18.2,147690,144390,3300
Utrecht,1190604,581749,608855,7.905815426,6.241186037,5.97674748,6.277081914,6.556616874,6.710683984,7.486554925,8.256303439,7.927201988,7.167685478,6.384434067,6.458490281,4.467107767,3.701133353,2.979190092,2.425991015,1.721324739,0.852275482,0.268799733,0.089991303,80.5,19.5,8.2,11.3,12.9,6.9,2435,2521,838,346,2146,9487,4811,3438,30.6,39,21.6,84970,82080,2900
Noord-Holland,2613070,1284716,1328354,7.221897637,5.873189487,5.713762667,5.640851257,5.755224338,6.502298747,7.476208642,8.388747616,8.245141189,7.419920124,6.675864582,6.986846245,4.885064165,3.969812029,3.214712781,2.625957003,1.911364085,0.955987752,0.293632727,0.09813233,73.4,26.6,10.5,16.1,11.6,8,6487,6234,1971,911,5421,22092,8759,5442,29.6,37.2,21.6,230090,221410,8680
Zuid-Holland,3455097,1701319,1753778,7.168117375,5.965127023,6.069920845,6.174656873,6.292860611,6.472825076,7.071386837,7.904044014,7.872802394,7.253923464,6.620912104,6.879255189,4.70104065,3.99132692,3.301352342,2.714524256,1.962413237,0.995223445,0.329178621,0.113724134,73.6,26.4,9.2,17.2,11.4,8.4,8775,8767,2911,1047,7498,32510,11590,6969,28.5,36.3,20.1,270850,257920,12940
