province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16730348,8282871,8447477,6.602038404,5.894187019,5.978799724,6.066347215,6.258381475,6.014680627,6.012797821,6.702287364,7.737478025,7.741416975,7.123952233,6.478442648,6.538495194,4.661247931,3.730328861,2.874321562,2.013950935,1.122797924,0.332969762,0.1150783,79.1,20.9,9.3,11.6,10.5,8.4,44661,38371,14477,6333,36971,182430,59563,33180,30.9,38.7,22.6,1577460,1519880,47550
Groningen,580875,288754,292121,5.773474021,5.146879806,5.333614294,6.837406779,8.18354227,6.05365979,5.560015148,6.184928602,7.031032469,7.082968522,6.791521533,6.414018685,6.452508509,4.673908741,3.57770504,2.823875884,2.010211034,1.189150763,0.378847463,0.132949573,86.5,13.5,7.4,6.1,9.6,9.4,1763,1529,523,217,1428,6332,2998,2154,27.9,33.9,21.4,64030,63210,820
Friesland,647214,323495,323719,6.402978243,6.041692564,6.16991503,6.001264755,5.53272472,5.22634841,5.234796007,6.235685631,7.425137718,7.360724781,6.930651483,6.547492545,6.684313479,5.110193918,3.970069775,2.957413868,2.103301285,1.200765832,0.366565461,0.130183538,91.3,8.7,5,3.7,10,9.1,1917,1706,582,216,1461,8397,2189,341,27.2,33.8,19.9,62220,61600,620
Drenthe,490807,243134,247673,6.019970871,5.95989648,6.244155771,5.445484664,4.517514421,4.556900938,4.952357504,6.16060861,7.590458601,7.708021403,7.38338098,6.945156217,7.153029538,5.33269599,4.223706876,3.346859518,2.28004185,1.284835992,0.40042961,0.12671319,91,9,5.6,3.4,9,9.9,1563,1341,466,207,1263,6045,1023,173,28.2,35.6,20.2,49860,49390,470
Overijssel,1137668,568764,568904,6.852297679,6.285299163,6.215357603,5.990171572,6.100962425,5.784466195,5.78549601,6.476415499,7.430195067,7.258301911,6.680232891,6.11426419,6.104652593,4.551263735,3.678753677,2.865457937,2.007536905,1.048436645,0.304395912,0.098261429,85.6,14.4,7,7.4,10.9,8.3,3039,2552,1076,452,2302,15068,4301,1197,28,35.3,20.1,108440,105780,2660
Flevoland,395525,197783,197742,7.90709279,7.052031782,6.94687705,6.634374963,6.174014421,6.314714442,6.334461812,7.015992822,8.021380679,7.998918038,7.062152281,5.933343419,5.12839132,3.165502996,2.23885778,1.698767297,1.164847823,0.621054726,0.171802108,0.047640513,72.3,27.7,8.5,19.3,12.6,5.6,771,557,235,124,526,5512,1129,245,30.9,38.6,22.8,39650,38520,1130
Gelderland,2010745,992668,1018077,6.312910366,5.972149645,6.165399528,6.115678955,5.805750816,5.30922487,5.43614828,6.286884753,7.578502864,7.633176069,7.056388298,6.492661891,6.556657702,4.704177939,3.753077771,2.912829232,2.022763012,1.101961317,0.308714258,0.107161425,85.6,14.4,7.7,6.7,9.9,8.6,5538,4753,1812,801,4431,23206,6632,3540,29.8,37.7,21.4,175090,171330,3760
Utrecht,1237117,605032,632085,7.227257691,6.188523872,5.868585644,5.971417292,6.691633442,6.45929547,6.368222773,7.008809496,7.661549755,7.335771523,6.600481815,5.799057884,5.770568065,3.940985471,3.172470804,2.404429666,1.743718564,1.00842887,0.303680876,0.107330037,79.4,20.6,8.5,12.1,12,7.2,2838,2340,915,456,2384,11253,4878,3475,34.6,43.3,25.6,99350,95840,3510
Noord-Holland,2709822,1333811,1376011,6.595939963,5.628993245,5.517447416,5.57026595,6.173463729,6.415398571,6.482016217,6.999176706,7.767279293,7.624244102,6.837334372,6.083823539,6.261518644,4.295883643,3.397824399,2.585478186,1.855998706,1.088688766,0.336691152,0.114752415,71.3,28.7,11.3,17.3,11,8.1,6839,5786,2073,1167,6253,26010,8469,6920,33.3,41.2,25.2,262050,251290,10760
Zuid-Holland,3552407,1753393,1799014,6.726479454,5.65894179,5.679087119,5.992178003,6.485559983,6.40915613,6.261515312,6.713507292,7.442806766,7.378193299,6.752918485,6.087765263,6.205229309,4.159227674,3.439217585,2.669544997,1.950606759,1.13506438,0.352996775,0.132222631,71.1,28.9,10.2,18.7,11.5,8.3,9203,7832,3068,1224,8084,37205,11072,7895,32.3,40.5,23.6,324060,308250,15810
Zeeland,381407,189181,192226,5.900062201,5.616693313,6.052881691,5.498686978,4.899439881,4.912494846,5.056099082,6.106893273,7.346344084,7.322026044,6.979014058,6.856656068,7.31460268,5.536315871,4.290721599,3.309041775,2.467894477,1.48903039,0.49019996,0.187120702,84.1,15.9,11,4.9,9.5,9.8,1186,1099,300,134,1034,4477,843,89,29,37.4,19.8,28350,27760,580
Noord-Brabant,2463686,1229968,1233718,6.147690508,5.632083889,5.894583176,5.912257493,5.798325515,5.562496218,5.655187317,6.426516739,7.656546235,7.779077607,7.130121033,6.470108111,6.526103198,4.879696895,3.87166634,2.994489151,1.940489524,0.999431162,0.267769883,0.08757902,83.5,16.5,8.4,8.1,9.7,8.3,6602,5666,2153,893,5142,25850,9573,3573,30.4,38.7,21.4,212740,207640,5110
