province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16334210,8077407,8256803,7.318088845,6.031286484,6.176258295,6.00038202,5.953988592,6.073143421,7.265634518,8.009649686,7.975096439,7.322662069,6.779103489,6.769332585,4.990568874,4.080791174,3.444439615,2.688498556,1.898065471,0.855394904,0.276799429,0.090815534,80.7,19.3,8.7,10.5,11.3,8.3,40563,41720,13731,5354,34004,148753,60036,30731,26.6,33.7,18.6, , , 
Groningen,574042,285089,288953,6.586103445,5.540709567,5.604816366,6.606311027,7.705707943,6.381240403,7.059587987,7.460429737,7.430989364,7.183620703,6.762397171,6.828071826,4.996672718,4.070433874,3.466471108,2.750147216,2.137822658,0.99679118,0.322101879,0.109573872,87.7,12.3,6.8,5.5,10.2,9.2,1555,1640,516,202,1345,5497,2924,2611,23.9,29.4,17.6, , , 
Friesland,642230,320611,321619,7.428647048,6.27594475,6.34367751,6.203073669,5.768805565,5.419086627,6.796630497,7.686342908,7.561776925,7.196642946,6.79834327,6.966663028,5.359294969,4.378493681,3.562430898,2.814723692,2.042259005,0.967410431,0.321847317,0.107905257,91.8,8.2,4.7,3.5,11.3,9.2,1780,1841,600,232,1470,6957,2523,282,23.5,29.6,16.5, , , 
Drenthe,484481,239540,244941,7.139186062,6.266706022,6.216549265,5.645009802,4.624742755,4.872224103,6.532763921,7.698547515,7.912797404,7.618049,7.190994072,7.311329022,5.604141354,4.705447672,3.999950465,3.080616174,2.185225031,1.009121116,0.294954806,0.091644446,91.5,8.5,5.5,3,10.3,9,1257,1363,474,171,1081,4841,1115,235,24.3,30.9,16.8, , , 
Overijssel,1113529,556103,557426,7.891397537,6.31936842,6.429468836,6.265216269,6.201634617,6.150446018,7.185802979,7.791355226,7.57788975,6.986257203,6.467905187,6.43252219,4.93431245,4.104787579,3.530577114,2.75053456,1.848896609,0.795399128,0.255763435,0.080464902,86.2,13.8,6.9,6.9,12.3,8.4,2774,2991,1001,373,2265,12410,4632,1192,24.2,30.7,16.7, , , 
Flevoland,370656,185120,185536,9.179670635,7.448955374,7.597071143,6.812246409,6.31151255,6.45018561,7.819649477,8.667605561,8.66652637,7.659123302,6.320145898,5.399885587,3.450908667,2.565991109,2.185854254,1.715337114,1.15174178,0.452710869,0.116819903,0.028058383,74.7,25.3,8.1,17.2,13.9,5.4,668,587,221,90,460,4220,1272,250,26.6,33.6,18.8, , , 
Gelderland,1975704,974987,1000717,7.428390083,6.251290677,6.39964286,6.090993387,5.709812803,5.712495396,6.943246559,7.900221894,7.957315469,7.338194382,6.860896165,6.859074033,5.073583896,4.162415017,3.528160085,2.7374546,1.874572308,0.821833638,0.262994866,0.08741188,86.3,13.7,7.5,6.2,11.2,8.3,4956,4999,1779,643,3967,18702,6603,3362,25.8,32.9,17.7, , , 
Utrecht,1180039,576277,603762,8.066343572,6.15022046,6.080731228,6.185304049,6.538851683,6.728591181,7.917619677,8.259896497,7.926517679,7.085359039,6.41919462,6.259369395,4.469513292,3.612084004,3.000663542,2.409920343,1.716383946,0.814973068,0.270753768,0.087708971,80.7,19.3,8.2,11.1,13,7.4,2664,2576,853,380,2240,9191,4823,3760,29.6,37.7,20.9, , , 
Noord-Holland,2606584,1281597,1324987,7.390016971,5.804263356,5.795516278,5.562452617,5.765400231,6.541511804,7.910698446,8.448989174,8.244775535,7.312367454,6.701299478,6.765828382,4.868095563,3.852053106,3.21716085,2.6040212,1.935713562,0.895770097,0.288730384,0.095335503,73.5,26.5,10.5,16,11.7,8.1,6220,6291,2111,943,5504,20664,8701,6057,28.6,35.9,20.8, , , 
Zuid-Holland,3458875,1703562,1755313,7.309023886,5.94505439,6.185681762,6.122828954,6.351516026,6.488728273,7.489573922,7.945965092,7.849806656,7.176928913,6.588905353,6.607697589,4.72477323,3.878399767,3.317841782,2.673036752,1.970525098,0.938195224,0.324354019,0.111163312,73.9,26.1,9.1,17,11.7,8.4,8540,8969,2915,1096,7533,30752,11785,6859,27.7,35.2,19.5, , , 
