province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16829289,8334385,8494904,6.438471643,5.65082696,6.044230389,5.952010213,6.322429902,6.093115401,6.000164356,6.121001309,7.538333913,7.659574923,7.309762165,6.588501748,6.195336,5.521784075,3.884329279,2.93516262,2.100819589,1.148913659,0.376878667,0.118353188,78.6,21.4,9.5,11.9,10.4,8.3,44808,37862,10454,6813,39286,167790,64104,36573,31.7,39.6,23.4,4935170,1632040,3302920
Groningen,582728,289820,292908,5.580038739,4.853344557,5.337696316,6.805408733,8.351237025,6.166657333,5.476606,5.525074479,6.855875905,6.979961892,6.772929828,6.42981959,6.059560323,5.533402395,3.697096289,2.873964794,2.038341409,1.166408319,0.422392045,0.132413903,86,14,7.7,6.4,9.3,9.1,1695,1539,395,233,1463,6368,3183,2183,28.6,34.6,22.2,170260,66280,103980
Friesland,646317,323242,323075,6.142304357,5.735340271,6.25042764,5.89061733,5.471489392,5.17084654,5.231966242,5.530807021,7.248615917,7.34292347,7.020505791,6.627807997,6.284366344,5.962549373,4.122951585,3.111698406,2.165919905,1.214284697,0.406513574,0.126294013,91.2,8.8,5,3.9,9.8,8.9,1925,1656,415,269,1518,8178,2213,297,27.7,34.3,20.6,188740,64150,124590
Drenthe,488988,242230,246758,5.7148653,5.583069308,6.337323539,5.382794954,4.426281463,4.60511913,4.8248453,5.485016247,7.360727461,7.645954652,7.474659534,7.054460522,6.748987566,6.248996385,4.441168073,3.447537336,2.394558715,1.305455318,0.439650828,0.136758206,90.8,9.2,5.7,3.5,8.8,9.4,1495,1279,343,247,1253,5517,1132,168,28.8,36.3,21,152510,50910,101600
Overijssel,1139697,570214,569483,6.565094882,6.019806222,6.334392555,5.854082076,5.968283557,5.761937397,5.698747615,5.908926039,7.245364408,7.216154042,6.849534063,6.200348461,5.822998152,5.264424314,3.798540567,2.914650052,2.094119641,1.103181208,0.338516694,0.099127905,85.5,14.5,7,7.5,10.6,8.4,3071,2619,772,469,2692,13809,4718,1307,28.7,36,20.9,312210,112150,200060
Flevoland,399893,199950,199943,7.531792243,6.698324364,7.012391748,6.389111212,6.123100494,6.324792919,6.261202755,6.399790476,7.753386897,7.825471938,7.248063642,6.250280782,5.079688063,3.987733505,2.376621203,1.702614153,1.205785776,0.635173389,0.196110104,0.056794254,71.5,28.5,8.7,19.8,12.3,5.3,722,566,140,118,590,4824,1252,233,31.5,39.2,23.4,88510,41230,47280
Gelderland,2019692,997850,1021842,6.063268025,5.625910764,6.228772732,6.006658105,5.871428645,5.357662417,5.31104814,5.649554297,7.297537193,7.512347317,7.241263672,6.55464017,6.211472595,5.555268515,3.913821221,2.953519054,2.104995037,1.136427251,0.35628686,0.106347831,85.5,14.5,7.7,6.9,9.8,8.4,5532,4695,1366,770,4663,20867,7154,3781,30.5,38.5,22.1,553350,184500,368850
Utrecht,1253672,613674,639998,6.956730648,5.978462174,6.003933075,5.86968825,6.615466996,6.452499665,6.331648371,6.342796728,7.559051684,7.238768638,6.750486009,5.895313989,5.394644301,4.706465419,3.257952979,2.456664705,1.777001913,1.019765134,0.34203784,0.108851329,78.9,21.1,8.6,12.5,11.8,7.2,2890,2401,691,487,2618,10276,4906,3753,35.5,44.4,26.6,298230,104010,194230
Noord-Holland,2741369,1349648,1391721,6.40965438,5.397389393,5.563226519,5.410595466,6.246614252,6.513355687,6.415177561,6.427144463,7.54165915,7.493083458,7.00240526,6.143373209,5.754519853,5.163680843,3.529137189,2.590797892,1.891796542,1.07638348,0.371823544,0.116411711,70.7,29.3,11.6,17.7,10.9,7.9,6840,5698,1519,1112,6448,24370,10001,7667,34.2,42.1,26.2,723710,266810,456900
Zuid-Holland,3577032,1764927,1812105,6.635093038,5.46893948,5.677652148,5.803688337,6.488001076,6.381392636,6.256306129,6.152818075,7.273197029,7.251218704,6.856667098,6.156616798,5.729423313,5.059762791,3.536230838,2.674924764,1.996825651,1.134190023,0.391051353,0.134230574,70.5,29.5,10.4,19.1,11.4,8,9149,7656,2130,1446,8343,35248,11520,8259,33.1,41.5,24.4,939110,336720,602380
