province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16900726,8372858,8527868,6.355916308,5.549921347,6.024161329,5.958087244,6.342538184,6.166640415,5.97318127,5.992937818,7.287320083,7.590691666,7.390161819,6.658222848,6.126009025,5.756486437,3.994988144,3.01365752,2.126435279,1.169653895,0.400006485,0.122982883,78.3,21.7,9.6,12.1,10.1,8.7,45790,39379,12681,7253,42031,154373,65446,37206,32.3,40.3,23.9,4995390,1622470,3372840
Groningen,583942,290840,293102,5.455691343,4.752275743,5.284388938,6.849943785,8.37925205,6.231434597,5.404052351,5.357709692,6.650008246,6.851764391,6.770168195,6.415481218,6.001541826,5.72480986,3.827739379,2.908499348,2.037588095,1.168662932,0.438600316,0.138365983,85.7,14.3,7.7,6.7,9.1,9.4,1725,1535,446,222,1553,5886,3211,2132,29.1,35,22.7,171360,65820,105540
Friesland,646257,323398,322859,6.018355834,5.570602012,6.238643542,5.890639821,5.446475189,5.125240983,5.212279301,5.342986345,6.948858295,7.309723352,7.060871521,6.656786398,6.233259744,6.129770874,4.275495751,3.224754789,2.168031817,1.23633296,0.427564528,0.131305229,91,9,5,4,9.3,9.4,1937,1683,464,278,1697,7296,2222,233,28.4,35.1,21.2,189980,63130,126840
Drenthe,488576,242262,246314,5.598776313,5.42074223,6.265217236,5.40373008,4.360252532,4.614445618,4.769928725,5.301459396,7.076657003,7.547656056,7.520753133,7.106724993,6.656892218,6.506947938,4.589718668,3.519338197,2.425022052,1.360180407,0.456954152,0.146581394,90.7,9.3,5.7,3.6,8.2,10.2,1554,1368,428,242,1383,5063,1048,207,29.4,36.9,21.6,153820,50280,103540
Overijssel,1140652,570894,569758,6.406809648,5.854960107,6.353683641,5.848351126,5.936555548,5.750487434,5.61703695,5.73523595,6.987298085,7.214884118,6.897653251,6.261581613,5.758536828,5.442492178,3.903278485,2.972853213,2.11250004,1.129457139,0.360867067,0.103455906,85.4,14.6,7,7.6,10.3,8.7,3165,2672,942,473,2733,12684,4589,1293,29.2,36.6,21.3,315260,111470,203790
Flevoland,401791,200949,200842,7.364702418,6.52111841,6.93701712,6.39603609,6.041235321,6.271434864,6.294526987,6.213464032,7.476314322,7.694486772,7.336799441,6.338065258,5.164937483,4.239087787,2.503570646,1.727819766,1.209690312,0.63912252,0.218172409,0.060376259,71.1,28.9,8.9,20,11.8,5.6,728,589,180,128,635,4572,1210,273,32.2,40,23.9,89710,40740,48970
Gelderland,2026578,1001922,1024656,5.939770908,5.462677814,6.179843547,5.997380711,5.909439919,5.378552238,5.252888474,5.479464778,6.984425478,7.43028147,7.307049906,6.59498703,6.132964048,5.783394635,4.014563869,3.024466927,2.128081298,1.155438977,0.381569563,0.110736724,85.3,14.7,7.7,7,9.6,8.8,5584,4855,1684,878,4889,19284,7325,3595,31.1,39.2,22.6,560150,183070,377080
Utrecht,1263572,618888,644684,6.84306714,5.850560049,6.03160692,5.827766651,6.624311724,6.467970441,6.266730751,6.164007494,7.330907017,7.173494899,6.789602093,5.952135996,5.320039924,4.890177875,3.331736762,2.509491756,1.776967062,1.028150456,0.352762236,0.116491081,78.7,21.3,8.7,12.7,11.3,7.5,2872,2538,805,521,2748,9650,5274,3808,36.3,45.2,27.2,303110,104160,198950
Noord-Holland,2761929,1360069,1401860,6.295822343,5.293764903,5.529302294,5.373058874,6.245502516,6.64298717,6.367662826,6.270627436,7.275694274,7.388021568,7.059822908,6.181535449,5.635050913,5.342265098,3.622187804,2.653548604,1.886993555,1.076487394,0.386181936,0.121460446,70.2,29.8,11.9,17.9,10.6,8.3,7089,5931,1857,1294,6861,22008,10386,7253,35,43,26.8,728460,262090,466370
Zuid-Holland,3600011,1776412,1823599,6.557572137,5.403974654,5.631687337,5.764202045,6.482697033,6.404143942,6.20878139,6.046279047,7.039951464,7.129941193,6.900027096,6.189881396,5.608491891,5.278520595,3.587320376,2.734404571,1.993573236,1.143315243,0.408417002,0.134796672,70.1,29.9,10.7,19.3,10.9,8.4,9368,7889,2561,1526,8941,32428,11966,8361,33.7,42.1,24.9,952350,338390,613960
Zeeland,380726,188718,192008,5.688311,5.159030014,5.883776912,5.427351352,4.916093831,4.964071857,5.007480477,5.246101196,6.829374834,7.316008724,7.092111429,6.822520812,6.599131229,6.72351862,4.674426928,3.485385154,2.523033004,1.505087281,0.578020536,0.207143066,83.2,16.8,11.7,5.1,9.5,10.3,1174,1103,295,156,1202,3696,974,113,30.3,39.2,20.9,113130,30350,82780
Noord-Brabant,2488751,1243856,1244895,5.819963194,5.197688325,5.796119162,5.755537703,5.875612209,5.703383738,5.557640002,5.662646947,7.036785506,7.53436463,7.36629139,6.584836247,6.153080632,5.744081695,4.094261076,3.116539264,2.140564974,1.072826111,0.341039561,0.094715953,82.7,17.3,8.9,8.5,9.4,8.8,6990,5922,1964,1034,6029,22261,10610,3870,31.9,40.4,22.7,683930,219420,464510
Limburg,1117941,554650,563291,4.840175256,4.376793767,5.215462388,5.486229328,5.751722713,5.262405703,4.951784489,5.018698161,6.492095681,7.623144179,8.002581003,7.441509019,7.069420595,6.369074807,4.760985427,3.651636319,2.529319444,1.289341702,0.40615041,0.109447934,79.1,20.9,14.6,6.3,7.8,10.6,3604,3294,1055,501,3360,8964,3797,1672,29.3,36.6,21.7,361430,123260,238170
