province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to30,population/from31to35,population/from36to40,population/from41to45,population/from46to50,population/from51to55,population/from56to60,population/from61to65,population/from66to70,population/from71to75,population/from76to80,population/from81to85,population/from86to90,population/from91to94,population/from95,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16779575,8307339,8472236,6.524187889,5.773710002,6.01899631,5.996635791,6.300314519,6.036183872,6.011034248,6.378367748,7.665122627,7.71102963,7.220141154,6.544099001,6.321316243,5.13818735,3.791323678,2.907981877,2.051029302,1.136804716,0.356004249,0.117529794,78.9,21.1,9.4,11.7,10.2,8.4,44213,38490,12282,6447,39813,178176,60913,34589,31.2,39,22.9,4834190,1611650,3222150
Groningen,581705,289275,292430,5.687910678,4.988907999,5.348533752,6.760930894,8.281433294,6.107613543,5.515544685,5.851072673,6.967435401,7.048598036,6.778167479,6.4438109,6.193127157,5.175833047,3.603453507,2.869140876,1.999947638,1.189660103,0.402800936,0.131868367,86.3,13.7,7.6,6.2,9.1,9.3,1679,1533,452,251,1472,6478,3052,2149,28.1,34,21.7,166880,64960,101910
Friesland,646862,323442,323420,6.288194203,5.885484902,6.209337807,5.936350282,5.485183454,5.187967127,5.245604519,5.843949861,7.379391913,7.359527322,6.969007658,6.598051613,6.445455474,5.604521425,4.025738499,3.021373086,2.143268206,1.20421514,0.382995183,0.130173221,91.3,8.7,5,3.8,9.7,9.2,1817,1636,544,261,1679,8257,2123,272,27.3,33.9,20.2,185530,63850,121680
Drenthe,489918,242757,247161,5.877490709,5.779731237,6.297737254,5.435983465,4.445671998,4.583171087,4.89910111,5.792646624,7.510391961,7.657031169,7.447205963,7.01960756,6.887075903,5.833777115,4.289296538,3.421581832,2.329338204,1.286371699,0.421836129,0.130743362,90.9,9.1,5.6,3.4,8.5,9.8,1553,1348,402,215,1271,5681,1124,211,28.4,35.8,20.6,149560,50320,99240
Overijssel,1139350,569690,569660,6.704030793,6.156703694,6.274952321,5.913883889,6.05203998,5.758383529,5.736083744,6.168408944,7.377723303,7.233244674,6.77169908,6.16268448,5.926272656,4.955249784,3.708598233,2.890427094,2.054911673,1.079275051,0.318177666,0.103040357,85.6,14.4,7,7.4,10.7,8.6,2964,2683,946,431,2729,14733,4523,1269,28.3,35.6,20.4,307420,111400,196020
Flevoland,398441,199314,199127,7.731646361,6.858214143,6.988679239,6.488074346,6.186098877,6.32047308,6.302393618,6.664470991,7.924656516,7.917571339,7.161166858,6.089105176,5.051736426,3.635188211,2.270923725,1.70435333,1.18640189,0.620320118,0.195941976,0.048374705,71.8,28.2,8.6,19.6,11.7,5.6,748,582,194,124,599,5212,1126,239,31,38.6,23,86500,41070,45430
Gelderland,2015791,995180,1020611,6.162926861,5.817158939,6.198083152,6.053691235,5.852798143,5.326950813,5.377125795,5.93103055,7.46907001,7.583762582,7.150055638,6.543754485,6.337983943,5.165511967,3.81725853,2.942552614,2.05591867,1.11954437,0.334854015,0.105758623,85.5,14.5,7.7,6.8,9.8,8.6,5360,4849,1552,798,4767,22291,6990,3565,30.1,38,21.7,541260,182040,359230
Utrecht,1245294,609345,635949,7.10925529,6.075444727,5.944977452,5.895104395,6.652268024,6.44792922,6.335753935,6.654769493,7.649963623,7.289439284,6.686897752,5.850156113,5.524808693,4.383982135,3.202506689,2.437916815,1.756735331,1.013564283,0.325269244,0.109048449,79.2,20.8,8.5,12.3,11.5,7.3,2845,2411,805,488,2552,11249,4833,3589,34.9,43.6,26,291590,102480,189120
Noord-Holland,2724300,1340874,1383426,6.52295053,5.504648454,5.558032667,5.473382601,6.219332287,6.439944155,6.450056424,6.676599872,7.675785118,7.57598451,6.924046779,6.121425496,5.960343816,4.78117445,3.448641601,2.590206305,1.867875738,1.082548943,0.355072911,0.117738272,71,29,11.5,17.5,10.7,8.1,6854,5753,1690,1096,6633,25743,9220,7125,33.7,41.4,25.7,710200,264410,445790
Zuid-Holland,3563935,1758081,1805854,6.689422121,5.565500217,5.683906979,5.884256135,6.500435641,6.367934788,6.286374788,6.384732977,7.384921864,7.332096331,6.796793974,6.138031736,5.890593017,4.673147525,3.486403118,2.666323621,1.971725245,1.133154077,0.377453991,0.132582796,70.8,29.2,10.3,18.9,11,8.2,9214,7842,2414,1304,8474,36346,11069,8348,32.6,40.9,24,916540,328030,588520
